59.45, 47.95, 43.3
59.45, 47.95, 58.7
59.45, 62.65, 35.6
59.45, 62.65, 51.0
59.45, 62.65, 66.4
101.55, 133.25, 127.9
84.65, 133.25, 127.9
67.75, 133.25, 127.9
101.55, 133.25, 143.3
84.65, 133.25, 143.3
67.75, 133.25, 143.3
101.55, 133.25, 158.7
84.65, 133.25, 158.7
67.75, 133.25, 158.7
101.55, 147.95, 135.6
84.65, 147.95, 135.6
67.75, 147.95, 135.6
101.55, 147.95, 151.0
84.65, 147.95, 151.0
67.75, 147.95, 151.0
101.55, 147.95, 166.4
84.65, 147.95, 166.4
67.75, 147.95, 166.4
93.1, 162.65, 135.6
76.2, 162.65, 135.6
59.3, 162.65, 135.6
93.1, 162.65, 151.0
76.2, 162.65, 151.0
59.3, 162.65, 151.0
93.1, 162.65, 166.4
76.2, 162.65, 166.4
59.3, 162.65, 166.4