43.3, 47.95, 59.45
58.7, 47.95, 59.45
35.6, 62.65, 59.45
51, 62.65, 59.45
66.4, 62.65, 59.45
127.9, 133.25, 101.55
127.9, 133.25, 84.65
127.9, 133.25, 67.75
143.3, 133.25, 101.55
143.3, 133.25, 84.65
143.3, 133.25, 67.75
158.7, 133.25, 101.55
158.7, 133.25, 84.65
158.7, 133.25, 67.75
135.6, 147.95, 101.55
135.6, 147.95, 84.65
135.6, 147.95, 67.75
151, 147.95, 101.55
151, 147.95, 84.65
151, 147.95, 67.75
166.4, 147.95, 101.55
166.4, 147.95, 84.65
166.4, 147.95, 67.75
135.6, 162.65, 93.1
135.6, 162.65, 76.2
135.6, 162.65, 59.3
151, 162.65, 93.1
151, 162.65, 76.2
151, 162.65, 59.3
166.4, 162.65, 93.1
166.4, 162.65, 76.2
166.4, 162.65, 59.3