#ComponentName;                                                                      CoM_x;     CoM_y;     CoM_z
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:33|D3DF_SC_Cell v6:1;           271.0;283.6749999999;224.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:33|Fiber v2:1;                  271.0;423.6749999999;224.8000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:33|FiberSleeve v2:1;            271.0000000001;423.6749999999;224.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:33|Bottom_ver4 v3:1;            271.0;283.6749999999;223.31992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:33|Top_ver4 v2:1;               271.0;283.675;227.4954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:34;                             271.0;242.2658407802;225.0741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:34|D3DF_SC_Cell v6:1;           271.0;266.3249999999;224.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:34|Fiber v2:1;                  271.0;126.3249999999;224.8000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:34|FiberSleeve v2:1;            270.9999999999;126.3249999999;224.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:34|Bottom_ver4 v3:1;            271.0;266.3249999999;223.31992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:34|Top_ver4 v2:1;               271.0;266.3249999999;227.4954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:35;                             271.0;307.7341592196;238.2741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:35|D3DF_SC_Cell v6:1;           271.0;283.6749999999;238.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:35|Fiber v2:1;                  271.0;423.6749999999;238.0000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:35|FiberSleeve v2:1;            271.0000000001;423.6749999999;238.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:35|Bottom_ver4 v3:1;            271.0;283.6749999999;236.51992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:35|Top_ver4 v2:1;               271.0;283.675;240.6954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:36;                             271.0;242.2658407802;238.2741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:36|D3DF_SC_Cell v6:1;           271.0;266.3249999999;238.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:36|Fiber v2:1;                  271.0;126.3249999999;238.0000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:36|FiberSleeve v2:1;            270.9999999999;126.3249999999;238.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:36|Bottom_ver4 v3:1;            271.0;266.3249999999;236.51992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:36|Top_ver4 v2:1;               271.0;266.3249999999;240.6954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:37;                             271.0;307.7341592196;251.4741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:37|D3DF_SC_Cell v6:1;           271.0;283.6749999999;251.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:37|Fiber v2:1;                  271.0;423.6749999999;251.2000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:37|FiberSleeve v2:1;            271.0000000001;423.6749999999;251.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:37|Bottom_ver4 v3:1;            271.0;283.6749999999;249.71992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:37|Top_ver4 v2:1;               271.0;283.675;253.8954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:38;                             271.0;242.2658407802;251.4741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:38|D3DF_SC_Cell v6:1;           271.0;266.3249999999;251.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:38|Fiber v2:1;                  271.0;126.3249999999;251.2000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:38|FiberSleeve v2:1;            270.9999999999;126.3249999999;251.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:38|Bottom_ver4 v3:1;            271.0;266.3249999999;249.71992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:38|Top_ver4 v2:1;               271.0;266.3249999999;253.8954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:39;                             271.0;307.7341592196;264.6741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:39|D3DF_SC_Cell v6:1;           271.0;283.6749999999;264.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:39|Fiber v2:1;                  271.0;423.6749999999;264.4000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:39|FiberSleeve v2:1;            271.0000000001;423.6749999999;264.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:39|Bottom_ver4 v3:1;            271.0;283.6749999999;262.91992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:39|Top_ver4 v2:1;               271.0;283.675;267.0954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:40;                             271.0;242.2658407802;264.6741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:40|D3DF_SC_Cell v6:1;           271.0;266.3249999999;264.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:40|Fiber v2:1;                  271.0;126.3249999999;264.4000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:40|FiberSleeve v2:1;            270.9999999999;126.3249999999;264.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:40|Bottom_ver4 v3:1;            271.0;266.3249999999;262.91992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:40|Top_ver4 v2:1;               271.0;266.3249999999;267.0954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:41;                             271.0;307.7341592196;277.8741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:41|D3DF_SC_Cell v6:1;           271.0;283.6749999999;277.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:41|Fiber v2:1;                  271.0;423.6749999999;277.6000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:41|FiberSleeve v2:1;            271.0000000001;423.6749999999;277.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:41|Bottom_ver4 v3:1;            271.0;283.6749999999;276.11992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:41|Top_ver4 v2:1;               271.0;283.675;280.2954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:42;                             271.0;242.2658407802;277.8741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:42|D3DF_SC_Cell v6:1;           271.0;266.3249999999;277.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:42|Fiber v2:1;                  271.0;126.3249999999;277.6000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:42|FiberSleeve v2:1;            270.9999999999;126.3249999999;277.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:42|Bottom_ver4 v3:1;            271.0;266.3249999999;276.11992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:42|Top_ver4 v2:1;               271.0;266.3249999999;280.2954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:43;                             271.0;307.7341592196;291.0741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:43|D3DF_SC_Cell v6:1;           271.0;283.6749999999;290.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:43|Fiber v2:1;                  271.0;423.6749999999;290.8000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:43|FiberSleeve v2:1;            271.0000000001;423.6749999999;290.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:43|Bottom_ver4 v3:1;            271.0;283.6749999999;289.31992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:43|Top_ver4 v2:1;               271.0;283.675;293.4954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:44;                             271.0;242.2658407802;291.0741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:44|D3DF_SC_Cell v6:1;           271.0;266.3249999999;290.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:44|Fiber v2:1;                  271.0;126.3249999999;290.8000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:44|FiberSleeve v2:1;            270.9999999999;126.3249999999;290.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:44|Bottom_ver4 v3:1;            271.0;266.3249999999;289.31992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:44|Top_ver4 v2:1;               271.0;266.3249999999;293.4954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:45;                             271.0;307.7341592196;304.2741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:45|D3DF_SC_Cell v6:1;           271.0;283.6749999999;304.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:45|Fiber v2:1;                  271.0;423.6749999999;304.0000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:45|FiberSleeve v2:1;            271.0000000001;423.6749999999;304.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:45|Bottom_ver4 v3:1;            271.0;283.6749999999;302.51992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:45|Top_ver4 v2:1;               271.0;283.675;306.6954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:46;                             271.0;242.2658407802;304.2741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:46|D3DF_SC_Cell v6:1;           271.0;266.3249999999;304.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:46|Fiber v2:1;                  271.0;126.3249999999;304.0000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:46|FiberSleeve v2:1;            270.9999999999;126.3249999999;304.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:46|Bottom_ver4 v3:1;            271.0;266.3249999999;302.51992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:46|Top_ver4 v2:1;               271.0;266.3249999999;306.6954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:47;                             271.0;307.7341592196;317.4741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:47|D3DF_SC_Cell v6:1;           271.0;283.6749999999;317.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:47|Fiber v2:1;                  271.0;423.6749999999;317.2000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:47|FiberSleeve v2:1;            271.0000000001;423.6749999999;317.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:47|Bottom_ver4 v3:1;            271.0;283.6749999999;315.71992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:47|Top_ver4 v2:1;               271.0;283.675;319.8954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:48;                             271.0;242.2658407802;317.4741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:48|D3DF_SC_Cell v6:1;           271.0;266.3249999999;317.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:48|Fiber v2:1;                  271.0;126.3249999999;317.2000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:48|FiberSleeve v2:1;            270.9999999999;126.3249999999;317.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:48|Bottom_ver4 v3:1;            271.0;266.3249999999;315.71992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:48|Top_ver4 v2:1;               271.0;266.3249999999;319.8954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:49;                             271.0;307.7341592196;330.6741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:49|D3DF_SC_Cell v6:1;           271.0;283.6749999999;330.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:49|Fiber v2:1;                  271.0;423.6749999999;330.4000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:49|FiberSleeve v2:1;            271.0000000001;423.6749999999;330.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:49|Bottom_ver4 v3:1;            271.0;283.6749999999;328.91992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:49|Top_ver4 v2:1;               271.0;283.675;333.0954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:50;                             271.0;242.2658407802;330.6741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:50|D3DF_SC_Cell v6:1;           271.0;266.3249999999;330.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:50|Fiber v2:1;                  271.0;126.3249999999;330.4000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:50|FiberSleeve v2:1;            270.9999999999;126.3249999999;330.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:50|Bottom_ver4 v3:1;            271.0;266.3249999999;328.91992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:50|Top_ver4 v2:1;               271.0;266.3249999999;333.0954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:51;                             271.0;307.7341592196;343.8741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:51|D3DF_SC_Cell v6:1;           271.0;283.6749999999;343.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:51|Fiber v2:1;                  271.0;423.6749999999;343.6000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:51|FiberSleeve v2:1;            271.0000000001;423.6749999999;343.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:51|Bottom_ver4 v3:1;            271.0;283.6749999999;342.11992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:51|Top_ver4 v2:1;               271.0;283.675;346.2954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:52;                             271.0;242.2658407802;343.8741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:52|D3DF_SC_Cell v6:1;           271.0;266.3249999999;343.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:52|Fiber v2:1;                  271.0;126.3249999999;343.6000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:52|FiberSleeve v2:1;            270.9999999999;126.3249999999;343.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:52|Bottom_ver4 v3:1;            271.0;266.3249999999;342.11992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:52|Top_ver4 v2:1;               271.0;266.3249999999;346.2954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:53;                             271.0;307.7341592196;357.0741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:53|D3DF_SC_Cell v6:1;           271.0;283.6749999999;356.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:53|Fiber v2:1;                  271.0;423.6749999999;356.8000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:53|FiberSleeve v2:1;            271.0000000001;423.6749999999;356.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:53|Bottom_ver4 v3:1;            271.0;283.6749999999;355.31992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:53|Top_ver4 v2:1;               271.0;283.675;359.4954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:54;                             271.0;242.2658407802;357.0741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:54|D3DF_SC_Cell v6:1;           271.0;266.3249999999;356.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:54|Fiber v2:1;                  271.0;126.3249999999;356.8000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:54|FiberSleeve v2:1;            270.9999999999;126.3249999999;356.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:54|Bottom_ver4 v3:1;            271.0;266.3249999999;355.31992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:54|Top_ver4 v2:1;               271.0;266.3249999999;359.4954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:55;                             271.0;307.7341592196;370.2741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:55|D3DF_SC_Cell v6:1;           271.0;283.6749999999;370.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:55|Fiber v2:1;                  271.0;423.6749999999;370.0000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:55|FiberSleeve v2:1;            271.0000000001;423.6749999999;370.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:55|Bottom_ver4 v3:1;            271.0;283.6749999999;368.51992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:55|Top_ver4 v2:1;               271.0;283.675;372.6954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:56;                             271.0;242.2658407802;370.2741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:56|D3DF_SC_Cell v6:1;           271.0;266.3249999999;370.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:56|Fiber v2:1;                  271.0;126.3249999999;370.0000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:56|FiberSleeve v2:1;            270.9999999999;126.3249999999;370.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:56|Bottom_ver4 v3:1;            271.0;266.3249999999;368.51992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:56|Top_ver4 v2:1;               271.0;266.3249999999;372.6954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:57;                             271.0;307.7341592196;383.4741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:57|D3DF_SC_Cell v6:1;           271.0;283.6749999999;383.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:57|Fiber v2:1;                  271.0;423.6749999999;383.2000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:57|FiberSleeve v2:1;            271.0000000001;423.6749999999;383.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:57|Bottom_ver4 v3:1;            271.0;283.6749999999;381.71992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:57|Top_ver4 v2:1;               271.0;283.675;385.8954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:58;                             271.0;242.2658407802;383.4741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:58|D3DF_SC_Cell v6:1;           271.0;266.3249999999;383.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:58|Fiber v2:1;                  271.0;126.3249999999;383.2000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:58|FiberSleeve v2:1;            270.9999999999;126.3249999999;383.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:58|Bottom_ver4 v3:1;            271.0;266.3249999999;381.71992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:58|Top_ver4 v2:1;               271.0;266.3249999999;385.8954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:59;                             271.0;307.7341592196;396.6741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:59|D3DF_SC_Cell v6:1;           271.0;283.6749999999;396.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:59|Fiber v2:1;                  271.0;423.6749999999;396.4000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:59|FiberSleeve v2:1;            271.0000000001;423.6749999999;396.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:59|Bottom_ver4 v3:1;            271.0;283.6749999999;394.91992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:59|Top_ver4 v2:1;               271.0;283.675;399.0954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:60;                             271.0;242.2658407802;396.6741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:60|D3DF_SC_Cell v6:1;           271.0;266.3249999999;396.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:60|Fiber v2:1;                  271.0;126.3249999999;396.4000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:60|FiberSleeve v2:1;            270.9999999999;126.3249999999;396.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:60|Bottom_ver4 v3:1;            271.0;266.3249999999;394.91992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:60|Top_ver4 v2:1;               271.0;266.3249999999;399.0954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:61;                             271.0;307.7341592196;409.8741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:61|D3DF_SC_Cell v6:1;           271.0;283.6749999999;409.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:61|Fiber v2:1;                  271.0;423.6749999999;409.6000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:61|FiberSleeve v2:1;            271.0000000001;423.6749999999;409.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:61|Bottom_ver4 v3:1;            271.0;283.6749999999;408.11992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:61|Top_ver4 v2:1;               271.0;283.675;412.2954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:62;                             271.0;242.2658407802;409.8741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:62|D3DF_SC_Cell v6:1;           271.0;266.3249999999;409.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:62|Fiber v2:1;                  271.0;126.3249999999;409.6000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:62|FiberSleeve v2:1;            270.9999999999;126.3249999999;409.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:62|Bottom_ver4 v3:1;            271.0;266.3249999999;408.11992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:62|Top_ver4 v2:1;               271.0;266.3249999999;412.2954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:63;                             271.0;307.7341592196;423.0741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:63|D3DF_SC_Cell v6:1;           271.0;283.6749999999;422.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:63|Fiber v2:1;                  271.0;423.6749999999;422.8000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:63|FiberSleeve v2:1;            271.0000000001;423.6749999999;422.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:63|Bottom_ver4 v3:1;            271.0;283.6749999999;421.31992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:63|Top_ver4 v2:1;               271.0;283.675;425.4954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:64;                             271.0;242.2658407802;423.0741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:64|D3DF_SC_Cell v6:1;           271.0;266.3249999999;422.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:64|Fiber v2:1;                  271.0;126.3249999999;422.8000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:64|FiberSleeve v2:1;            270.9999999999;126.3249999999;422.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:64|Bottom_ver4 v3:1;            271.0;266.3249999999;421.31992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:64|Top_ver4 v2:1;               271.0;266.3249999999;425.4954526042
WaterPhantom v8|Tower v5:1|Tower_bottom_aquarium_ver_2 v2:2;                    264.2326346081;274.9999999999;324.1122229693
WaterPhantom v8|Tower v5:1|Tower_bottom_aquarium_ver_2 v2:2|Body042:1;          264.2326346081;274.9999999999;324.1122229693
WaterPhantom v8|Tower v5:1|Tower_top_aquarium_ver_2 v2:2;                       280.8125034235;275.0000012223;324.2633698749
WaterPhantom v8|Tower v5:1|Tower_top_aquarium_ver_2 v2:2|Body043:1;             280.8125034235;275.0000012223;324.2633698749
WaterPhantom v8|Tower v5:1|dystans1 v2:1;                                       270.7547169811;274.8199999999;113.2
WaterPhantom v8|Tower v5:1|dystans1 v2:1|Body051:1;                             270.7547169811;274.8199999999;113.2
WaterPhantom v8|Tower v5:1|dystans1 v2:2;                                       270.7547169811;274.8199999999;324.4
WaterPhantom v8|Tower v5:1|dystans1 v2:2|Body051:1;                             270.7547169811;274.8199999999;324.4
WaterPhantom v8|Styrofoam v3:1;                                                 433.5;275.0;25.0
WaterPhantom v8|Styrofoam v3:2;                                                 108.5;275.0;25.0
WaterPhantom v8|InsertFictional v5:1;                                           264.35;251.9999999999;216.3
WaterPhantom v8|InsertFictional v5:2;                                           277.65;251.9999999999;216.3
WaterPhantom v8|InsertFictional v5:3;                                           264.35;297.9999999999;216.3
WaterPhantom v8|InsertFictional v5:4;                                           277.65;297.9999999999;216.3
WaterPhantom v8|Cap v3:1;                                                       271.0;274.9999999999;431.0
WaterPhantom v8|Cap v3:2;                                                       271.0;274.9999999999;433.0
WaterPhantom v8|Cap v3:3;                                                       271.0;274.9999999999;435.0
WaterPhantom v8|Cap v3:4;                                                       271.0;274.9999999999;437.0
WaterPhantom v8|Cap v3:5;                                                       271.0;274.9999999999;439.0
